material_id,description_short,long_description,unit,manufacturer,manufacturer_part_number,material_group,status,expected_issue
MAT-0001,ROLAMENTO SKF 6205 ZZ,ROLAMENTO RIGIDO DE ESFERAS 6205 COM DUPLA BLINDAGEM,PC,SKF,6205-2Z,ROLAMENTOS,ACTIVE,VALID
MAT-0002,ROLAM. 6205 2Z SKF,,UN,SKF,6205-2Z,ROLAMENTOS,ACTIVE,POSSIBLE_DUPLICATE
MAT-0003,CABO ELETRICO 2.5MM PRETO,CABO FLEXIVEL COBRE ISOLADO COR PRETA,M,CONDUSUL,,CABOS,ACTIVE,MISSING_TECHNICAL_ATTRIBUTE
MAT-0004,PARAFUSO SEXT M10X30 8.8,PARAFUSO CABECA SEXTAVADA ROSCA METRICA M10 COMPRIMENTO 30 MM CLASSE 8.8,PC,,,FIXADORES,ACTIVE,VALID
MAT-0005,PARAF M10 X 30 CL 8.8,,UN,,,FIXADORES,ACTIVE,POSSIBLE_DUPLICATE
MAT-0006,MOTOR ELETRICO 10CV,MOTOR ELETRICO TRIFASICO POTENCIA 10 CV,PC,WEG,,MOTORES,UNDER_REVIEW,MISSING_TECHNICAL_ATTRIBUTE
MAT-0007,,,PC,,,NAO_CLASSIFICADO,UNDER_REVIEW,MISSING_CRITICAL_FIELD
MAT-0008,OLEO LUBRIFICANTE ISO VG 68,OLEO MINERAL PARA SISTEMA HIDRAULICO ISO VG 68,PC,LUBRAX,,LUBRIFICANTES,ACTIVE,SUSPICIOUS_UNIT
MAT-0009,SENSOR PRESSAO 0-10 BAR,SENSOR DE PRESSAO FAIXA 0 A 10 BAR SAIDA 4-20 MA,PC,IFM,PN7094,INSTRUMENTACAO,ACTIVE,VALID
MAT-0010,VALVULA ESFERA 2 POL 150LB,VALVULA DE ESFERA DIAMETRO 2 POLEGADAS CLASSE 150,PC,,,VALVULAS,ACTIVE,VALID
MAT-0011,VALV ESF 2IN CL150,,UN,,,VALVULAS,ACTIVE,POSSIBLE_DUPLICATE
MAT-0012,PORCA SEXTAVADA M10,PORCA SEXTAVADA ROSCA METRICA M10 CLASSE 8,PC,,,FIXADORES,ACTIVE,VALID
MAT-0013,ARRUELA LISA M10,ARRUELA LISA PARA PARAFUSO M10,PC,,,FIXADORES,ACTIVE,VALID
MAT-0014,TUBO ACO CARBONO 2 POL SCH40,TUBO SEM COSTURA ASTM A106 GR B DIAMETRO 2 POLEGADAS SCHEDULE 40,M,,,TUBULACAO,ACTIVE,VALID
MAT-0015,TUBO AC 2 SCH 40,TUBO ACO CARBONO 2 POLEGADAS SCH40,M,,,TUBULACAO,ACTIVE,POSSIBLE_DUPLICATE
MAT-0016,FILTRO HIDRAULICO,FILTRO PARA SISTEMA HIDRAULICO,PC,,,FILTROS,UNDER_REVIEW,MISSING_TECHNICAL_ATTRIBUTE
MAT-0017,CORREIA A-42,CORREIA DE TRANSMISSAO PERFIL A COMPRIMENTO 42 POLEGADAS,PC,GATES,A42,CORREIAS,ACTIVE,VALID
MAT-0018,CORREIA INDUSTRIAL 42,,PC,,,CORREIAS,UNDER_REVIEW,AMBIGUOUS_DESCRIPTION
MAT-0019,CHAPA ACO 1020 3MM,CHAPA DE ACO CARBONO SAE 1020 ESPESSURA 3 MM,KG,,,CHAPAS,ACTIVE,VALID
MAT-0020,MANOMETRO 100 PSI,MANOMETRO ANALOGICO ESCALA 0 A 100 PSI,PC,,,INSTRUMENTACAO,ACTIVE,MISSING_TECHNICAL_ATTRIBUTE

