material_id,description_short,long_description,unit,manufacturer,manufacturer_part_number,material_group,status,expected_issue
CH-0001,ACOPLAMENTO ELASTICO TAM 95,ACOPLAMENTO FLEXIVEL TAMANHO 95,PC,,,ACOPLAMENTOS,ACTIVE,VALID
CH-0002,ACOPL FLEX 95,,UN,,,ACOPLAMENTOS,ACTIVE,POSSIBLE_DUPLICATE
CH-0003,LUB ISO 68,LUBRIFICANTE HIDRAULICO VISCOSIDADE ISO 68,PC,,,LUBRIFICANTES,ACTIVE,SUSPICIOUS_UNIT
CH-0004,MOT TRIF 10CV 380V,MOTOR TRIFASICO POTENCIA 10 CV TENSAO 380 V,PC,,,MOTORES,ACTIVE,MISSING_TECHNICAL_ATTRIBUTE
CH-0005,BOMBA INDUSTRIAL,,PC,,,BOMBAS,ACTIVE,AMBIGUOUS_DESCRIPTION
CH-0006,SENSOR TEMPERATURA,SENSOR DE TEMPERATURA PT100,,,,INSTRUMENTACAO,ACTIVE,MISSING_CRITICAL_FIELD
CH-0007,PAINEL ELETRICO 380V,PAINEL ELETRICO TENSAO 380 V,PC,,,PAINEIS,ACTIVE,VALID
CH-0008,CHAVE SECCIONADORA 100A,CHAVE SECCIONADORA CORRENTE NOMINAL 100 A,PC,,,ELETRICA,ACTIVE,VALID
CH-0009,BRG 6305 2RS,ROLAMENTO 6305 COM DUPLA VEDACAO,PC,,,ROLAMENTOS,ACTIVE,VALID
CH-0010,FLUIDO HIDRAULICO ISO 46 BALDE 20L,FLUIDO HIDRAULICO FORNECIDO EM BALDE DE 20 LITROS,PC,,,LUBRIFICANTES,ACTIVE,VALID
